
California (PST) SNOTEL Site Truckee #2 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 06 11:52:47 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
834,2005-10-01,,     0.0,
834,2005-10-02,,     0.0,
834,2005-10-03,,     0.0,
834,2005-10-04,,     0.0,
834,2005-10-05,,     0.0,
834,2005-10-06,,     0.0,
834,2005-10-07,,     0.0,
834,2005-10-08,,     0.0,
834,2005-10-09,,     0.0,
834,2005-10-10,,     0.0,
834,2005-10-11,,     0.0,
834,2005-10-12,,     0.0,
834,2005-10-13,,     0.0,
834,2005-10-14,,     0.0,
834,2005-10-15,,     0.0,
834,2005-10-16,,     0.0,
834,2005-10-17,,     0.0,
834,2005-10-18,,     0.0,
834,2005-10-19,,     0.0,
834,2005-10-20,,     0.0,
834,2005-10-21,,     0.0,
834,2005-10-22,,     0.0,
834,2005-10-23,,     0.0,
834,2005-10-24,,     0.0,
834,2005-10-25,,     0.0,
834,2005-10-26,,     0.0,
834,2005-10-27,,     0.0,
834,2005-10-28,,     0.0,
834,2005-10-29,,     0.0,
834,2005-10-30,,     0.0,
834,2005-10-31,,     0.0,
834,2005-11-01,,     0.0,
834,2005-11-02,,     0.0,
834,2005-11-03,,     0.0,
834,2005-11-04,,     0.0,
834,2005-11-05,,     0.0,
834,2005-11-06,,     0.0,
834,2005-11-07,,     0.0,
834,2005-11-08,,     0.0,
834,2005-11-09,,     0.0,
834,2005-11-10,,     0.0,
834,2005-11-11,,     0.0,
834,2005-11-12,,     0.0,
834,2005-11-13,,     0.0,
834,2005-11-14,,     0.0,
834,2005-11-15,,     0.0,
834,2005-11-16,,     0.0,
834,2005-11-17,,     0.0,
834,2005-11-18,,     0.0,
834,2005-11-19,,     0.0,
834,2005-11-20,,     0.0,
834,2005-11-21,,     0.0,
834,2005-11-22,,     0.0,
834,2005-11-23,,     0.0,
834,2005-11-24,,     0.0,
834,2005-11-25,,     0.0,
834,2005-11-26,,     0.3,
834,2005-11-27,,     0.3,
834,2005-11-28,,     0.3,
834,2005-11-29,,     1.0,
834,2005-11-30,,     0.9,
834,2005-12-01,,     0.8,
834,2005-12-02,,     0.8,
834,2005-12-03,,     1.6,
834,2005-12-04,,     1.6,
834,2005-12-05,,     1.6,
834,2005-12-06,,     1.5,
834,2005-12-07,,     1.3,
834,2005-12-08,,     1.3,
834,2005-12-09,,     1.3,
834,2005-12-10,,     1.3,
834,2005-12-11,,     1.3,
834,2005-12-12,,     1.1,
834,2005-12-13,,     1.1,
834,2005-12-14,,     1.1,
834,2005-12-15,,     1.1,
834,2005-12-16,,     1.1,
834,2005-12-17,,     1.1,
834,2005-12-18,,     1.3,
834,2005-12-19,,     3.1,
834,2005-12-20,,     2.8,
