
California (PST) SNOTEL Site Truckee #2 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 06 11:53:48 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
834,2009-10-01,,     0.0,
834,2009-10-02,,     0.0,
834,2009-10-03,,     0.0,
834,2009-10-04,,     0.0,
834,2009-10-05,,     0.0,
834,2009-10-06,,     0.0,
834,2009-10-07,,     0.0,
834,2009-10-08,,     0.0,
834,2009-10-09,,     0.0,
834,2009-10-10,,     0.0,
834,2009-10-11,,     0.0,
834,2009-10-12,,     0.0,
834,2009-10-13,,     0.0,
834,2009-10-14,,     0.0,
834,2009-10-15,,     0.0,
834,2009-10-16,,     0.0,
834,2009-10-17,,     0.0,
834,2009-10-18,,     0.0,
834,2009-10-19,,     0.0,
834,2009-10-20,,     0.0,
834,2009-10-21,,     0.0,
834,2009-10-22,,     0.0,
834,2009-10-23,,     0.0,
834,2009-10-24,,     0.0,
834,2009-10-25,,     0.0,
834,2009-10-26,,     0.0,
834,2009-10-27,,     0.0,
834,2009-10-28,,     0.0,
834,2009-10-29,,     0.0,
834,2009-10-30,,     0.0,
834,2009-10-31,,     0.0,
834,2009-11-01,,     0.0,
834,2009-11-02,,     0.0,
834,2009-11-03,,     0.0,
834,2009-11-04,,     0.0,
834,2009-11-05,,     0.0,
834,2009-11-06,,     0.0,
834,2009-11-07,,     0.0,
834,2009-11-08,,     0.0,
834,2009-11-09,,     0.0,
834,2009-11-10,,     0.0,
834,2009-11-11,,     0.0,
834,2009-11-12,,     0.0,
834,2009-11-13,,     0.5,
834,2009-11-14,,     0.5,
834,2009-11-15,,     0.5,
834,2009-11-16,,     0.5,
834,2009-11-17,,     0.4,
834,2009-11-18,,     0.3,
834,2009-11-19,,     0.3,
834,2009-11-20,,     0.2,
834,2009-11-21,,     1.7,
834,2009-11-22,,     1.7,
834,2009-11-23,,     1.7,
834,2009-11-24,,     1.7,
834,2009-11-25,,     1.7,
834,2009-11-26,,     1.7,
834,2009-11-27,,     1.7,
834,2009-11-28,,     1.9,
834,2009-11-29,,     1.9,
834,2009-11-30,,     1.9,
834,2009-12-01,,     1.9,
834,2009-12-02,,     1.9,
834,2009-12-03,,     1.9,
834,2009-12-04,,     1.9,
834,2009-12-05,,     1.9,
834,2009-12-06,,     1.9,
834,2009-12-07,,     2.5,
834,2009-12-08,,     3.7,
834,2009-12-09,,     3.7,
834,2009-12-10,,     3.7,
834,2009-12-11,,     3.8,
834,2009-12-12,,     4.6,
834,2009-12-13,,     6.2,
834,2009-12-14,,     6.5,
834,2009-12-15,,     6.5,
834,2009-12-16,,     6.5,
834,2009-12-17,,     6.5,
834,2009-12-18,,     6.5,
834,2009-12-19,,     6.5,
834,2009-12-20,,     6.5,
834,2009-12-21,,     6.5,
834,2009-12-22,,     6.5,
834,2009-12-23,,     6.5,
834,2009-12-24,,     6.5,
834,2009-12-25,,     6.5,
834,2009-12-26,,     6.5,
834,2009-12-27,,     6.5,
834,2009-12-28,,     6.5,
834,2009-12-29,,     6.9,
834,2009-12-30,,     7.0,
834,2009-12-31,,     7.1,
834,2010-01-01,,     7.2,
834,2010-01-02,,     7.3,
834,2010-01-03,,     7.3,
834,2010-01-04,,     7.3,
834,2010-01-05,,     7.3,
834,2010-01-06,,     7.3,
834,2010-01-07,,     7.3,
834,2010-01-08,,     7.3,
834,2010-01-09,,     7.3,
834,2010-01-10,,     7.3,
834,2010-01-11,,     7.3,
834,2010-01-12,,     7.1,
834,2010-01-13,,     7.8,
834,2010-01-14,,     8.2,
834,2010-01-15,,     8.2,
834,2010-01-16,,     8.2,
834,2010-01-17,,     8.2,
834,2010-01-18,,     8.3,
834,2010-01-19,,     9.9,
834,2010-01-20,,    10.4,
834,2010-01-21,,    11.7,
834,2010-01-22,,    12.2,
834,2010-01-23,,    12.7,
834,2010-01-24,,    12.7,
834,2010-01-25,,    12.9,
834,2010-01-26,,    14.3,
834,2010-01-27,,    14.3,
834,2010-01-28,,    14.3,
834,2010-01-29,,    14.3,
834,2010-01-30,,    14.3,
834,2010-01-31,,    14.3,
834,2010-02-01,,    14.3,
834,2010-02-02,,    14.3,
834,2010-02-03,,    14.6,
834,2010-02-04,,    14.8,
834,2010-02-05,,    14.8,
834,2010-02-06,,    15.3,
834,2010-02-07,,    15.8,
834,2010-02-08,,    15.8,
834,2010-02-09,,    15.8,
834,2010-02-10,,    16.0,
834,2010-02-11,,    16.0,
834,2010-02-12,,    16.2,
834,2010-02-13,,    16.2,
834,2010-02-14,,    16.2,
834,2010-02-15,,    16.2,
834,2010-02-16,,    16.2,
834,2010-02-17,,    16.2,
834,2010-02-18,,    16.2,
834,2010-02-19,,    16.2,
834,2010-02-20,,    16.2,
834,2010-02-21,,    16.4,
834,2010-02-22,,    16.5,
834,2010-02-23,,    16.5,
834,2010-02-24,,    17.0,
834,2010-02-25,,    17.6,
834,2010-02-26,,    17.6,
834,2010-02-27,,    18.5,
834,2010-02-28,,    18.7,
834,2010-03-01,,    18.7,
834,2010-03-02,,    18.7,
834,2010-03-03,,    18.8,
834,2010-03-04,,    19.3,
834,2010-03-05,,    19.3,
834,2010-03-06,,    19.3,
834,2010-03-07,,    19.3,
834,2010-03-08,,    19.3,
834,2010-03-09,,    19.4,
834,2010-03-10,,    19.4,
834,2010-03-11,,    19.5,
