
California (PST) SNOTEL Site Truckee #2 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 06 11:53:39 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
834,2008-10-01,,     0.0,
834,2008-10-02,,     0.0,
834,2008-10-03,,     0.0,
834,2008-10-04,,     0.0,
834,2008-10-05,,     0.0,
834,2008-10-06,,     0.0,
834,2008-10-07,,     0.0,
834,2008-10-08,,     0.0,
834,2008-10-09,,     0.0,
834,2008-10-10,,     0.0,
834,2008-10-11,,     0.0,
834,2008-10-12,,     0.0,
834,2008-10-13,,     0.0,
834,2008-10-14,,     0.0,
834,2008-10-15,,     0.0,
834,2008-10-16,,     0.0,
834,2008-10-17,,     0.0,
834,2008-10-18,,     0.0,
834,2008-10-19,,     0.0,
834,2008-10-20,,     0.0,
834,2008-10-21,,     0.0,
834,2008-10-22,,     0.0,
834,2008-10-23,,     0.0,
834,2008-10-24,,     0.0,
834,2008-10-25,,     0.0,
834,2008-10-26,,     0.0,
834,2008-10-27,,     0.0,
834,2008-10-28,,     0.0,
834,2008-10-29,,     0.0,
834,2008-10-30,,     0.0,
834,2008-10-31,,     0.0,
834,2008-11-01,,     0.0,
834,2008-11-02,,     0.0,
834,2008-11-03,,     0.0,
834,2008-11-04,,     0.5,
834,2008-11-05,,     0.6,
834,2008-11-06,,     0.6,
834,2008-11-07,,     0.6,
834,2008-11-08,,     0.4,
834,2008-11-09,,     0.5,
834,2008-11-10,,     0.6,
834,2008-11-11,,     0.5,
834,2008-11-12,,     0.4,
834,2008-11-13,,     0.0,
834,2008-11-14,,     0.0,
834,2008-11-15,,     0.0,
834,2008-11-16,,     0.0,
834,2008-11-17,,     0.0,
834,2008-11-18,,     0.0,
834,2008-11-19,,     0.0,
834,2008-11-20,,     0.0,
834,2008-11-21,,     0.0,
834,2008-11-22,,     0.0,
834,2008-11-23,,     0.0,
834,2008-11-24,,     0.0,
834,2008-11-25,,     0.0,
834,2008-11-26,,     0.0,
834,2008-11-27,,     0.0,
834,2008-11-28,,     0.0,
834,2008-11-29,,     0.0,
834,2008-11-30,,     0.0,
834,2008-12-01,,     0.0,
834,2008-12-02,,     0.0,
834,2008-12-03,,     0.0,
834,2008-12-04,,     0.0,
834,2008-12-05,,     0.0,
834,2008-12-06,,     0.0,
834,2008-12-07,,     0.0,
834,2008-12-08,,     0.0,
834,2008-12-09,,     0.0,
834,2008-12-10,,     0.0,
834,2008-12-11,,     0.0,
834,2008-12-12,,     0.0,
834,2008-12-13,,     0.0,
834,2008-12-14,,     0.5,
834,2008-12-15,,     1.1,
834,2008-12-16,,     2.2,
834,2008-12-17,,     2.4,
834,2008-12-18,,     2.6,
834,2008-12-19,,     2.8,
834,2008-12-20,,     3.0,
834,2008-12-21,,     3.1,
834,2008-12-22,,     3.3,
834,2008-12-23,,     4.3,
834,2008-12-24,,     4.6,
834,2008-12-25,,     5.3,
834,2008-12-26,,     6.9,
834,2008-12-27,,     7.0,
834,2008-12-28,,     7.1,
834,2008-12-29,,     7.2,
834,2008-12-30,,     7.2,
834,2008-12-31,,     7.2,
834,2009-01-01,,     7.2,
834,2009-01-02,,     7.2,
834,2009-01-03,,     7.6,
834,2009-01-04,,     7.6,
834,2009-01-05,,     7.6,
834,2009-01-06,,     7.6,
834,2009-01-07,,     7.6,
834,2009-01-08,,     7.6,
834,2009-01-09,,     7.6,
834,2009-01-10,,     7.6,
834,2009-01-11,,     7.6,
834,2009-01-12,,     7.6,
834,2009-01-13,,     7.6,
834,2009-01-14,,     7.6,
834,2009-01-15,,     7.6,
834,2009-01-16,,     7.6,
834,2009-01-17,,     7.6,
834,2009-01-18,,     7.6,
834,2009-01-19,,     7.6,
834,2009-01-20,,     7.6,
834,2009-01-21,,     7.6,
834,2009-01-22,,     7.6,
834,2009-01-23,,     8.3,
834,2009-01-24,,     8.5,
834,2009-01-25,,     8.7,
834,2009-01-26,,     8.8,
834,2009-01-27,,     8.8,
834,2009-01-28,,     8.8,
834,2009-01-29,,     8.8,
834,2009-01-30,,     8.8,
834,2009-01-31,,     8.7,
834,2009-02-01,,     8.6,
834,2009-02-02,,     8.6,
834,2009-02-03,,     8.6,
834,2009-02-04,,     8.6,
834,2009-02-05,,     8.6,
834,2009-02-06,,     8.6,
834,2009-02-07,,     8.9,
834,2009-02-08,,     9.0,
834,2009-02-09,,     9.4,
834,2009-02-10,,     9.7,
834,2009-02-11,,     9.8,
834,2009-02-12,,    10.1,
834,2009-02-13,,    10.1,
834,2009-02-14,,    10.7,
834,2009-02-15,,    11.0,
834,2009-02-16,,    11.8,
834,2009-02-17,,    12.1,
834,2009-02-18,,    12.3,
834,2009-02-19,,    12.1,
834,2009-02-20,,    11.9,
834,2009-02-21,,    11.8,
834,2009-02-22,,    12.0,
834,2009-02-23,,    13.2,
834,2009-02-24,,    12.8,
834,2009-02-25,,    12.3,
834,2009-02-26,,    12.2,
834,2009-02-27,,    12.1,
834,2009-02-28,,    11.9,
834,2009-03-01,,    11.4,
834,2009-03-02,,    12.4,
834,2009-03-03,,    12.8,
834,2009-03-04,,    14.1,
834,2009-03-05,,    14.3,
834,2009-03-06,,    14.3,
834,2009-03-07,,    14.3,
834,2009-03-08,,    14.3,
