
California (PST) SNOTEL Site Truckee #2 - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Oct 06 11:53:02 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
834,2006-10-01,,     0.0,
834,2006-10-02,,     0.0,
834,2006-10-03,,     0.0,
834,2006-10-04,,     0.0,
834,2006-10-05,,     0.0,
834,2006-10-06,,     0.0,
834,2006-10-07,,     0.0,
834,2006-10-08,,     0.0,
834,2006-10-09,,     0.0,
834,2006-10-10,,     0.0,
834,2006-10-11,,     0.0,
834,2006-10-12,,     0.0,
834,2006-10-13,,     0.0,
834,2006-10-14,,     0.0,
834,2006-10-15,,     0.0,
834,2006-10-16,,     0.0,
834,2006-10-17,,     0.0,
834,2006-10-18,,     0.0,
834,2006-10-19,,     0.0,
834,2006-10-20,,     0.0,
834,2006-10-21,,     0.0,
834,2006-10-22,,     0.0,
834,2006-10-23,,     0.0,
834,2006-10-24,,     0.0,
834,2006-10-25,,     0.0,
834,2006-10-26,,     0.0,
834,2006-10-27,,     0.0,
834,2006-10-28,,     0.0,
834,2006-10-29,,     0.0,
834,2006-10-30,,     0.0,
834,2006-10-31,,     0.0,
834,2006-11-01,,     0.0,
834,2006-11-02,,     0.0,
834,2006-11-03,,     0.0,
834,2006-11-04,,     0.0,
834,2006-11-05,,     0.0,
834,2006-11-06,,     0.0,
834,2006-11-07,,     0.0,
834,2006-11-08,,     0.0,
834,2006-11-09,,     0.0,
834,2006-11-10,,     0.0,
834,2006-11-11,,     0.0,
834,2006-11-12,,     0.2,
834,2006-11-13,,     0.6,
834,2006-11-14,,     0.2,
834,2006-11-15,,     0.0,
834,2006-11-16,,     0.0,
834,2006-11-17,,     0.0,
834,2006-11-18,,     0.0,
834,2006-11-19,,     0.0,
834,2006-11-20,,     0.0,
834,2006-11-21,,     0.0,
834,2006-11-22,,     0.0,
834,2006-11-23,,     0.0,
834,2006-11-24,,     0.6,
834,2006-11-25,,     0.6,
834,2006-11-26,,     0.6,
834,2006-11-27,,     0.7,
834,2006-11-28,,     1.5,
834,2006-11-29,,     1.5,
834,2006-11-30,,     1.5,
834,2006-12-01,,     1.5,
834,2006-12-02,,     1.5,
834,2006-12-03,,     1.5,
834,2006-12-04,,     1.5,
834,2006-12-05,,     1.5,
834,2006-12-06,,     1.5,
834,2006-12-07,,     1.5,
834,2006-12-08,,     1.5,
834,2006-12-09,,     1.5,
834,2006-12-10,,     2.1,
834,2006-12-11,,     2.3,
834,2006-12-12,,     2.3,
834,2006-12-13,,     2.2,
834,2006-12-14,,     2.2,
834,2006-12-15,,     2.2,
834,2006-12-16,,     2.2,
834,2006-12-17,,     2.5,
834,2006-12-18,,     2.5,
834,2006-12-19,,     2.5,
834,2006-12-20,,     2.5,
834,2006-12-21,,     2.5,
834,2006-12-22,,     3.6,
834,2006-12-23,,     3.6,
834,2006-12-24,,     3.6,
834,2006-12-25,,     3.6,
834,2006-12-26,,     3.6,
834,2006-12-27,,     4.0,
834,2006-12-28,,     4.3,
834,2006-12-29,,     4.3,
834,2006-12-30,,     4.3,
834,2006-12-31,,     4.3,
834,2007-01-01,,     4.3,
834,2007-01-02,,     4.3,
834,2007-01-03,,     4.3,
834,2007-01-04,,     4.4,
834,2007-01-05,,     5.4,
834,2007-01-06,,     5.4,
834,2007-01-07,,     5.4,
834,2007-01-08,,     5.4,
834,2007-01-09,,     5.4,
834,2007-01-10,,     5.4,
834,2007-01-11,,     5.4,
834,2007-01-12,,     5.4,
834,2007-01-13,,     5.4,
834,2007-01-14,,     5.4,
834,2007-01-15,,     5.4,
834,2007-01-16,,     5.4,
834,2007-01-17,,     5.4,
834,2007-01-18,,     5.4,
834,2007-01-19,,     5.4,
834,2007-01-20,,     5.4,
834,2007-01-21,,     5.4,
834,2007-01-22,,     5.4,
834,2007-01-23,,     5.4,
834,2007-01-24,,     5.4,
834,2007-01-25,,     5.4,
834,2007-01-26,,     5.4,
834,2007-01-27,,     5.4,
834,2007-01-28,,     5.4,
834,2007-01-29,,     5.4,
834,2007-01-30,,     5.4,
834,2007-01-31,,     5.4,
834,2007-02-01,,     5.4,
834,2007-02-02,,     5.4,
834,2007-02-03,,     5.4,
834,2007-02-04,,     5.4,
834,2007-02-05,,     5.4,
834,2007-02-06,,     5.4,
834,2007-02-07,,     5.4,
834,2007-02-08,,     5.8,
834,2007-02-09,,     5.9,
834,2007-02-10,,     6.4,
834,2007-02-11,,     7.8,
834,2007-02-12,,     8.3,
834,2007-02-13,,     8.3,
834,2007-02-14,,     8.3,
834,2007-02-15,,     8.4,
834,2007-02-16,,     8.4,
834,2007-02-17,,     8.4,
834,2007-02-18,,     8.4,
834,2007-02-19,,     8.4,
834,2007-02-20,,     8.4,
834,2007-02-21,,     8.4,
834,2007-02-22,,     8.4,
834,2007-02-23,,     9.4,
834,2007-02-24,,     9.7,
834,2007-02-25,,    10.2,
834,2007-02-26,,    11.8,
834,2007-02-27,,    13.8,
834,2007-02-28,,    14.6,
834,2007-03-01,,    14.6,
834,2007-03-02,,    14.7,
834,2007-03-03,,    14.7,
834,2007-03-04,,    14.7,
834,2007-03-05,,    14.7,
834,2007-03-06,,    14.6,
834,2007-03-07,,    14.4,
834,2007-03-08,,    14.3,
834,2007-03-09,,    14.1,
834,2007-03-10,,    13.8,
834,2007-03-11,,    13.6,
834,2007-03-12,,    13.0,
834,2007-03-13,,    12.5,
834,2007-03-14,,    12.3,
834,2007-03-15,,    11.8,
834,2007-03-16,,    11.2,
834,2007-03-17,,    10.7,
834,2007-03-18,,    10.0,
834,2007-03-19,,     9.4,
834,2007-03-20,,     8.6,
834,2007-03-21,,     8.2,
834,2007-03-22,,     8.5,
834,2007-03-23,,     8.2,
834,2007-03-24,,     8.0,
834,2007-03-25,,     7.5,
834,2007-03-26,,     7.6,
834,2007-03-27,,     7.9,
834,2007-03-28,,     8.0,
834,2007-03-29,,     7.8,
834,2007-03-30,,     7.6,
834,2007-03-31,,     7.2,
834,2007-04-01,,     7.1,
834,2007-04-02,,     6.7,
834,2007-04-03,,     5.8,
834,2007-04-04,,     4.9,
834,2007-04-05,,     4.4,
834,2007-04-06,,     3.9,
834,2007-04-07,,     3.5,
834,2007-04-08,,     3.0,
834,2007-04-09,,     2.4,
834,2007-04-10,,     1.8,
834,2007-04-11,,     1.2,
834,2007-04-12,,     1.4,
834,2007-04-13,,     1.4,
834,2007-04-14,,     0.9,
834,2007-04-15,,     0.5,
834,2007-04-16,,     0.0,
834,2007-04-17,,     0.0,
834,2007-04-18,,     0.2,
834,2007-04-19,,     0.1,
834,2007-04-20,,     0.1,
834,2007-04-21,,     0.1,
834,2007-04-22,,     0.2,
834,2007-04-23,,     1.0,
834,2007-04-24,,     0.4,
834,2007-04-25,,     0.0,
834,2007-04-26,,     0.0,
834,2007-04-27,,     0.0,
834,2007-04-28,,     0.0,
834,2007-04-29,,     0.0,
834,2007-04-30,,     0.0,
834,2007-05-01,,     0.0,
834,2007-05-02,,     0.0,
834,2007-05-03,,     0.0,
834,2007-05-04,,     0.0,
834,2007-05-05,,     0.0,
834,2007-05-06,,     0.0,
834,2007-05-07,,     0.0,
